  0.00   0.00   0.00000000
  0.01   0.00   0.00000000
  0.02   0.00   0.00000000
  0.03   0.00   0.00000000
  0.04   0.00   0.00000000
  0.05   0.00   0.00000000
  0.06   0.00   0.00000000
  0.07   0.00   0.00000000
  0.08   0.00   0.00000000
  0.09   0.00   0.00000000
  0.10   0.00   0.00000000
  0.11   0.00   0.00000000
  0.12   0.00   0.00000000
  0.13   0.00   0.00000000
  0.14   0.00   0.00000000
  0.15   0.00   0.00000000
  0.16   0.00   0.00000000
  0.17   0.00   0.00000000
  0.18   0.00   0.00000000
  0.19   0.00   0.00000000
  0.20   0.00   0.00000000
  0.21   0.00   0.00000000
  0.22   0.00   0.00000000
  0.23   0.00   0.00000000
  0.24   0.00   0.00000000
  0.25   0.00   0.00000000
  0.26   0.00   0.00000000
  0.27   0.00   0.00000000
  0.28   0.00   0.00000000
  0.29   0.00   0.00000000
  0.30   0.00   0.00000000
  0.31   0.00   0.00000000
  0.32   0.00   0.00000000
  0.33   0.00   0.00000000
  0.34   0.00   0.00000000
  0.35   0.00   0.00000000
  0.36   0.00   0.00000000
  0.37   0.00   0.00000000
  0.38   0.00   0.00000000
  0.39   0.00   0.00000000
  0.40   0.00   0.00000000
  0.41   0.00   0.00000000
  0.42   0.00   0.00000000
  0.43   0.00   0.00000000
  0.44   0.00   0.00000000
  0.45   0.00   0.00000000
  0.46   0.00   0.00000000
  0.47   0.00   0.00000000
  0.48   0.00   0.00000000
  0.49   0.00   0.00000000
  0.50   0.00   0.00000000
  0.51   0.00   0.00000000
  0.52   0.00   0.00000000
  0.53   0.00   0.00000000
  0.54   0.00   0.00000000
  0.55   0.00   0.00000000
  0.56   0.00   0.00000000
  0.57   0.00   0.00000000
  0.58   0.00   0.00000000
  0.59   0.00   0.00000000
  0.60   0.00   0.00000000
  0.61   0.00   0.00000000
  0.62   0.00   0.00000000
  0.63   0.00   0.00000000
  0.64   0.00   0.00000000
  0.65   0.00   0.00000000
  0.66   0.00   0.00000000
  0.67   0.00   0.00000000
  0.68   0.00   0.00000000
  0.69   0.00   0.00000000
  0.70   0.00   0.00000000
  0.71   0.00   0.00000000
  0.72   0.00   0.00000000
  0.73   0.00   0.00000000
  0.74   0.00   0.00000000
  0.75   0.00   0.00000000
  0.76   0.00   0.00000000
  0.77   0.00   0.00000000
  0.78   0.00   0.00000000
  0.79   0.00   0.00000000
  0.80   0.00   0.00000000
  0.81   0.00   0.00000000
  0.82   0.00   0.00000000
  0.83   0.00   0.00000000
  0.84   0.00   0.00000000
  0.85   0.00   0.00000000
  0.86   0.00   0.00000000
  0.87   0.00   0.00000000
  0.88   0.00   0.00000000
  0.89   0.00   0.00000000
  0.90   0.00   0.00000000
  0.91   0.00   0.00000000
  0.92   0.00   0.00000000
  0.93   0.00   0.00000000
  0.94   0.00   0.00000000
  0.95   0.00   0.00000000
  0.96   0.00   0.00000000
  0.97   0.00   0.00000000
  0.98   0.00   0.00000000
  0.99   0.00   0.00000000
  1.00   0.00   0.00000000
  0.00   0.01   0.01885846
  0.01   0.01   0.02697278
  0.02   0.01   0.03153655
  0.03   0.01   0.03368782
  0.04   0.01   0.03431609
  0.05   0.01   0.03405626
  0.06   0.01   0.03332337
  0.07   0.01   0.03236639
  0.08   0.01   0.03132250
  0.09   0.01   0.03026102
  0.10   0.01   0.02921395
  0.11   0.01   0.02819457
  0.12   0.01   0.02720757
  0.13   0.01   0.02625399
  0.14   0.01   0.02533345
  0.15   0.01   0.02444505
  0.16   0.01   0.02358778
  0.17   0.01   0.02276055
  0.18   0.01   0.02196234
  0.19   0.01   0.02119211
  0.20   0.01   0.02044890
  0.21   0.01   0.01973175
  0.22   0.01   0.01903975
  0.23   0.01   0.01837202
  0.24   0.01   0.01772771
  0.25   0.01   0.01710600
  0.26   0.01   0.01650608
  0.27   0.01   0.01592721
  0.28   0.01   0.01536864
  0.29   0.01   0.01482966
  0.30   0.01   0.01430958
  0.31   0.01   0.01380774
  0.32   0.01   0.01332349
  0.33   0.01   0.01285624
  0.34   0.01   0.01240536
  0.35   0.01   0.01197031
  0.36   0.01   0.01155050
  0.37   0.01   0.01114542
  0.38   0.01   0.01075455
  0.39   0.01   0.01037739
  0.40   0.01   0.01001345
  0.41   0.01   0.00966227
  0.42   0.01   0.00932342
  0.43   0.01   0.00899644
  0.44   0.01   0.00868093
  0.45   0.01   0.00837649
  0.46   0.01   0.00808272
  0.47   0.01   0.00779926
  0.48   0.01   0.00752574
  0.49   0.01   0.00726181
  0.50   0.01   0.00700714
  0.51   0.01   0.00676139
  0.52   0.01   0.00652427
  0.53   0.01   0.00629546
  0.54   0.01   0.00607468
  0.55   0.01   0.00586164
  0.56   0.01   0.00565607
  0.57   0.01   0.00545771
  0.58   0.01   0.00526631
  0.59   0.01   0.00508161
  0.60   0.01   0.00490340
  0.61   0.01   0.00473144
  0.62   0.01   0.00456550
  0.63   0.01   0.00440539
  0.64   0.01   0.00425089
  0.65   0.01   0.00410181
  0.66   0.01   0.00395796
  0.67   0.01   0.00381915
  0.68   0.01   0.00368522
  0.69   0.01   0.00355597
  0.70   0.01   0.00343127
  0.71   0.01   0.00331093
  0.72   0.01   0.00319481
  0.73   0.01   0.00308277
  0.74   0.01   0.00297466
  0.75   0.01   0.00287034
  0.76   0.01   0.00276967
  0.77   0.01   0.00267254
  0.78   0.01   0.00257881
  0.79   0.01   0.00248837
  0.80   0.01   0.00240110
  0.81   0.01   0.00231690
  0.82   0.01   0.00223564
  0.83   0.01   0.00215724
  0.84   0.01   0.00208158
  0.85   0.01   0.00200858
  0.86   0.01   0.00193813
  0.87   0.01   0.00187015
  0.88   0.01   0.00180452
  0.89   0.01   0.00174110
  0.90   0.01   0.00167967
  0.91   0.01   0.00161978
  0.92   0.01   0.00156045
  0.93   0.01   0.00149967
  0.94   0.01   0.00143339
  0.95   0.01   0.00135403
  0.96   0.01   0.00124849
  0.97   0.01   0.00109589
